hex,type,flight,r,t,alt_baro,gs,track,baro_rate,lat,lon,nic,rc,seen_pos,mlat,tisb,messages,seen,rssi,is_spoofed
ac79a3,other,AAL506  ,N9025B,A319,31000,460.0,70.0,0,22.681137,-88.946411,0,0,3.792,[],[],5867665,3.5,-26.5,False
aae5a9,adsb_icao,AAL2332 ,N801AW,A319,34000,398.1,251.7,0,38.658051,-88.919936,8,186,0.199,[],[],6670484,0.0,-18.4,False
a8a2d9,adsb_icao,N65583  ,N65583,C152,2700,101.2,3.4,,32.538162,-88.815564,9,75,0.063,[],[],77797,0.1,-1.5,False
ac9abc,adsb_icao,DAL2157 ,N911DQ,B739,34000,414.0,280.58,64,34.837326,-88.796661,8,186,0.528,[],[],8667627,0.1,-16.5,False
a83477,adsb_icao,FDX3013 ,N628FE,MD11,35975,429.9,262.25,-192,40.081879,-88.766663,8,186,0.221,[],[],4649266,0.0,-10.4,False
aae6e6,adsb_icao,N801PN  ,N801PN,GLEX,41000,534.3,103.75,128,28.895626,-88.760538,8,186,0.36,[],[],999668,0.4,-12.9,False
abf78f,adsb_icao,AAL2657 ,N870NN,B738,20000,385.7,192.88,-128,14.634767,-88.756087,8,186,0.709,[],[],7186737,0.7,-29.8,False
0d0947,other,VIV1032 ,XA-VAO,A320,24125,500.0,80.0,-2170,21.339111,-88.742315,0,0,3.792,[],[],3608235,3.5,-26.1,False
a4380f,adsb_icao,FFT154  ,N371FR,A20N,37025,447.3,357.95,0,30.724274,-88.734203,8,186,0.0,[],[],9105590,0.0,-15.6,False
0c20ab,adsb_icao,CMP135  ,HP-1841CMP,B738,37000,442.8,139.76,0,14.798863,-88.710311,8,186,3.835,[],[],3497996,0.4,-25.9,False
a06348,adsb_icao,FRG9124 ,N124HL,E120,12500,305.8,53.24,-1088,43.243538,-88.705837,9,75,0.283,[],[],62046,0.0,-6.8,False
ac8e1d,adsb_icao,AAL1253 ,N908NN,B738,34000,391.1,218.98,0,39.240326,-88.688925,8,186,0.054,[],[],6787551,0.1,-15.9,False
a9d44c,adsb_icao,AAL1319 ,N732US,A319,38000,404.8,242.17,0,32.940628,-88.680872,8,186,0.102,[],[],6645874,0.1,-15.7,False
c0173e,adsb_icao,ACA182  ,C-FIUV,B77W,37000,467.6,113.44,0,48.029388,-88.657745,8,186,0.283,[],[],5433896,0.3,-9.8,False
ac4963,adsb_icao,DAL1310 ,N891DN,B739,35000,444.1,153.38,0,36.619675,-88.656178,8,186,0.034,[],[],9942027,0.0,-9.8,False
aa1219,adsb_icao,AAL2679 ,N748UW,A319,36000,420.3,284.47,-64,28.598831,-88.643347,8,186,5.822,[],[],8436044,0.1,-26.4,False
a3e9b2,adsb_icao,DAL1410 ,N351NB,A319,34975,472.4,12.59,-64,33.017361,-88.637695,8,186,0.468,[],[],7475942,0.0,-23.1,False
a69423,adsb_icao,JTL52   ,N523AR,CL60,39975,417.7,273.43,,40.109641,-88.598057,8,186,0.064,[],[],302161,0.1,-14.3,False
a3aa21,adsb_icao,,,,1850,115.6,203.46,64,32.939484,-88.59787,10,25,40.361,[],[],156811,40.4,-36.4,False
ac2dea,adsb_icao,AAL2499 ,N884NN,B738,36000,378.5,211.72,0,39.599102,-88.59552,8,186,0.103,[],[],6634597,0.1,-15.1,False
a4d889,adsb_icao,N411HC  ,N411HC,LJ45,40000,405.3,265.47,-64,35.845316,-88.587965,8,186,0.034,[],[],595663,0.0,-11.4,False
a448f6,adsb_icao,UAL2652 ,N37514,B39M,36575,463.8,80.19,320,44.507767,-88.584333,8,186,0.063,[],[],8901241,0.1,-7.2,False
ac828e,adsb_icao,N905JG  ,N905JG,GLEX,10225,310.3,92.4,,43.122781,-88.479898,8,186,0.243,[],[],1474996,0.1,-10.0,False
869560,adsb_icao,ANA8467 ,JA795A,B77W,31600,534.7,318.26,896,43.976303,-88.439494,8,186,0.023,[],[],4280418,0.0,-8.9,False
0d0aef,adsb_icao,AMX762  ,XA-MAL,B38M,36000,457.2,298.19,0,12.752838,-88.427487,8,186,17.688,[],[],5103529,2.0,-29.2,False
a59b9c,adsb_icao,SWA3023 ,N460WN,B737,37200,454.9,332.65,-896,35.573824,-88.405931,7,371,0.024,[],[],6475905,0.0,-8.2,False
